"","Date","box","Team","R","RA"
"1076","Saturday, May 2","boxscore","PIT",1,2
"1077","Sunday, May 3","boxscore","PIT",2,3
"1078","Tuesday, May 5","boxscore","PIT",1,7
"1079","Wednesday, May 6","boxscore","PIT",0,3
"1080","Thursday, May 7","boxscore","PIT",7,2
"1081","Friday, May 8","boxscore","PIT",5,8
"1082","Saturday, May 9","boxscore","PIT",7,5
"1083","Sunday, May 10","boxscore","PIT",4,3
"1084","Monday, May 11","boxscore","PIT",4,3
"1085","Tuesday, May 12","boxscore","PIT",7,2
"1086","Wednesday, May 13","boxscore","PIT",2,3
"1087","Thursday, May 14","boxscore","PIT",2,4
"1088","Friday, May 15","boxscore","PIT",10,11
"1089","Saturday, May 16","boxscore","PIT",1,4
"1090","Sunday, May 17","boxscore","PIT",3,0
"1091","Tuesday, May 19","boxscore","PIT",5,8
"1092","Wednesday, May 20","boxscore","PIT",3,4
"1093","Friday, May 22","boxscore","PIT",4,1
"1094","Saturday, May 23","boxscore","PIT",8,2
"1095","Sunday, May 24","boxscore","PIT",9,1
"1096","Monday, May 25","boxscore","PIT",4,2
"1097","Tuesday, May 26","boxscore","PIT",5,1
"1098","Wednesday, May 27","boxscore","PIT",5,2
"1099","Thursday, May 28","boxscore","PIT",11,5
"1100","Friday, May 29","boxscore","PIT",2,6
"1101","Saturday, May 30","boxscore","PIT",5,2
"1102","Sunday, May 31","boxscore","PIT",1,7
"1103","Monday, Apr 6","boxscore","SDP",3,6
"1104","Tuesday, Apr 7","boxscore","SDP",7,3
"1105","Wednesday, Apr 8","boxscore","SDP",4,7
"1106","Thursday, Apr 9","boxscore","SDP",0,1
"1107","Friday, Apr 10","boxscore","SDP",1,0
"1108","Saturday, Apr 11","boxscore","SDP",10,2
"1109","Sunday, Apr 12","boxscore","SDP",6,4
"1110","Monday, Apr 13","boxscore","SDP",4,8
"1111","Tuesday, Apr 14","boxscore","SDP",5,1
"1112","Wednesday, Apr 15","boxscore","SDP",3,2
"1113","Friday, Apr 17","boxscore","SDP",5,4
"1114","Saturday, Apr 18","boxscore","SDP",6,7
"1115","Sunday, Apr 19","boxscore","SDP",5,2
"1116","Monday, Apr 20","boxscore","SDP",14,3
"1117","Tuesday, Apr 21","boxscore","SDP",7,6
"1118","Wednesday, Apr 22","boxscore","SDP",4,5
"1119","Thursday, Apr 23","boxscore","SDP",1,2
"1120","Friday, Apr 24","boxscore","SDP",0,3
"1121","Saturday, Apr 25","boxscore","SDP",8,11
"1122","Sunday, Apr 26","boxscore","SDP",3,1
"1123","Monday, Apr 27","boxscore","SDP",4,9
"1124","Tuesday, Apr 28","boxscore","SDP",3,14
"1125","Wednesday, Apr 29","boxscore","SDP",2,7
"1126","Friday, May 1","boxscore","SDP",14,3
"1127","Saturday, May 2","boxscore","SDP",4,2
"1128","Sunday, May 3","boxscore","SDP",8,6
"1129","Monday, May 4","boxscore","SDP",0,2
"1130","Tuesday, May 5","boxscore","SDP",0,6
"1131","Wednesday, May 6","boxscore","SDP",9,1
"1132","Thursday, May 7","boxscore","SDP",0,11
"1133","Friday, May 8","boxscore","SDP",6,5
"1134","Saturday, May 9","boxscore","SDP",6,4
"1135","Sunday, May 10","boxscore","SDP",1,2
"1136","Tuesday, May 12","boxscore","SDP",4,11
"1137","Wednesday, May 13","boxscore","SDP",4,2
"1138","Thursday, May 14","boxscore","SDP",8,3
"1139","Friday, May 15","boxscore","SDP",0,10
"1140","Saturday, May 16","boxscore","SDP",1,4
"1141","Sunday, May 17","boxscore","SDP",5,10
"1142","Tuesday, May 19","boxscore","SDP",4,3
"1143","Wednesday, May 20","boxscore","SDP",2,3
"1144","Thursday, May 21","boxscore","SDP",0,3
"1145","Friday, May 22","boxscore","SDP",1,2
"1146","Saturday, May 23","boxscore","SDP",0,2
"1147","Sunday, May 24","boxscore","SDP",11,3
"1148","Monday, May 25","boxscore","SDP",3,4
"1149","Tuesday, May 26","boxscore","SDP",4,0
"1150","Wednesday, May 27","boxscore","SDP",5,4
"1151","Thursday, May 28","boxscore","SDP",5,11
"1152","Friday, May 29","boxscore","SDP",6,2
"1153","Saturday, May 30","boxscore","SDP",2,5
"1154","Sunday, May 31","boxscore","SDP",7,1
"1155","Monday, Apr 6","boxscore","SEA",4,1
"1156","Tuesday, Apr 7","boxscore","SEA",0,2
"1157","Wednesday, Apr 8","boxscore","SEA",3,5
"1158","Friday, Apr 10","boxscore","SEA",0,12
"1159","Saturday, Apr 11","boxscore","SEA",5,4
"1160","Sunday, Apr 12","boxscore","SEA",8,7
"1161","Monday, Apr 13","boxscore","SEA",5,6
"1162","Tuesday, Apr 14","boxscore","SEA",5,6
"1163","Wednesday, Apr 15","boxscore","SEA",2,5
"1164","Friday, Apr 17","boxscore","SEA",1,3
"1165","Saturday, Apr 18","boxscore","SEA",3,1
"1166","Sunday, Apr 19","boxscore","SEA",11,10
"1167","Monday, Apr 20","boxscore","SEA",5,7
"1168","Tuesday, Apr 21","boxscore","SEA",3,6
"1169","Wednesday, Apr 22","boxscore","SEA",3,2
"1170","Friday, Apr 24","boxscore","SEA",2,0
"1171","Saturday, Apr 25","boxscore","SEA",5,8
"1172","Sunday, Apr 26","boxscore","SEA",2,4
"1173","Monday, Apr 27","boxscore","SEA",3,1
"1174","Tuesday, Apr 28","boxscore","SEA",2,1
"1175","Wednesday, Apr 29","boxscore","SEA",5,2
"1176","Thursday, Apr 30","boxscore","SEA",2,3
"1177","Friday, May 1","boxscore","SEA",3,4
"1178","Saturday, May 2","boxscore","SEA",4,11
"1179","Sunday, May 3","boxscore","SEA",6,7
"1180","Monday, May 4","boxscore","SEA",3,2
"1181","Tuesday, May 5","boxscore","SEA",4,5
"1182","Wednesday, May 6","boxscore","SEA",3,4
"1183","Friday, May 8","boxscore","SEA",4,3
"1184","Saturday, May 9","boxscore","SEA",7,2
"1185","Sunday, May 10","boxscore","SEA",4,3
"1186","Tuesday, May 12","boxscore","SEA",11,4
"1187","Wednesday, May 13","boxscore","SEA",2,4
"1188","Thursday, May 14","boxscore","SEA",1,2
"1189","Friday, May 15","boxscore","SEA",2,1
"1190","Saturday, May 16","boxscore","SEA",2,4
"1191","Sunday, May 17","boxscore","SEA",5,0
"1192","Tuesday, May 19","boxscore","SEA",4,9
"1193","Wednesday, May 20","boxscore","SEA",4,2
"1194","Thursday, May 21","boxscore","SEA",4,5
"1195","Friday, May 22","boxscore","SEA",4,3
"1196","Saturday, May 23","boxscore","SEA",3,2
"1197","Sunday, May 24","boxscore","SEA",2,8
"1198","Monday, May 25","boxscore","SEA",4,1
"1199","Tuesday, May 26","boxscore","SEA",7,6
"1200","Wednesday, May 27","boxscore","SEA",3,0
"1201","Thursday, May 28","boxscore","SEA",3,5
"1202","Friday, May 29","boxscore","SEA",2,1
"1203","Saturday, May 30","boxscore","SEA",3,4
"1204","Sunday, May 31","boxscore","SEA",3,6
"1205","Monday, Apr 6","boxscore","SFG",5,4
"1206","Tuesday, Apr 7","boxscore","SFG",6,7
"1207","Wednesday, Apr 8","boxscore","SFG",5,2
"1208","Thursday, Apr 9","boxscore","SFG",1,0
"1209","Friday, Apr 10","boxscore","SFG",0,1
"1210","Saturday, Apr 11","boxscore","SFG",2,10
"1211","Sunday, Apr 12","boxscore","SFG",4,6
"1212","Monday, Apr 13","boxscore","SFG",0,2
"1213","Tuesday, Apr 14","boxscore","SFG",1,4
"1214","Wednesday, Apr 15","boxscore","SFG",2,4
"1215","Thursday, Apr 16","boxscore","SFG",6,7
"1216","Friday, Apr 17","boxscore","SFG",0,9
"1217","Saturday, Apr 18","boxscore","SFG",4,1
"1218","Sunday, Apr 19","boxscore","SFG",1,5
"1219","Tuesday, Apr 21","boxscore","SFG",6,2
"1220","Wednesday, Apr 22","boxscore","SFG",3,2
"1221","Thursday, Apr 23","boxscore","SFG",3,2
"1222","Friday, Apr 24","boxscore","SFG",4,6
"1223","Saturday, Apr 25","boxscore","SFG",5,4
"1224","Monday, Apr 27","boxscore","SFG",3,8
"1225","Tuesday, Apr 28","boxscore","SFG",2,1
"1226","Wednesday, Apr 29","boxscore","SFG",3,7
"1227","Friday, May 1","boxscore","SFG",3,2
"1228","Saturday, May 2","boxscore","SFG",5,4
"1229","Sunday, May 3","boxscore","SFG",5,0
"1230","Monday, May 4","boxscore","SFG",2,0
"1231","Tuesday, May 5","boxscore","SFG",6,0
"1232","Wednesday, May 6","boxscore","SFG",1,9
"1233","Thursday, May 7","boxscore","SFG",2,7
"1234","Friday, May 8","boxscore","SFG",6,0
"1235","Saturday, May 9","boxscore","SFG",2,6
"1236","Sunday, May 10","boxscore","SFG",3,2
"1237","Tuesday, May 12","boxscore","SFG",8,1
"1238","Wednesday, May 13","boxscore","SFG",3,4
"1239","Thursday, May 14","boxscore","SFG",3,4
"1240","Friday, May 15","boxscore","SFG",10,2
"1241","Saturday, May 16","boxscore","SFG",11,2
"1242","Sunday, May 17","boxscore","SFG",9,8
"1243","Tuesday, May 19","boxscore","SFG",2,0
"1244","Wednesday, May 20","boxscore","SFG",4,0
"1245","Thursday, May 21","boxscore","SFG",4,0
"1246","Friday, May 22","boxscore","SFG",11,8
"1247","Saturday, May 23 (1)","boxscore","SFG",10,8
"1248","Saturday, May 23 (2)","boxscore","SFG",3,5
"1249","Sunday, May 24","boxscore","SFG",2,11
"1250","Monday, May 25","boxscore","SFG",8,4
"1251","Tuesday, May 26","boxscore","SFG",6,3
"1252","Wednesday, May 27","boxscore","SFG",3,1
"1253","Thursday, May 28","boxscore","SFG",7,0
"1254","Friday, May 29","boxscore","SFG",4,2
"1255","Saturday, May 30","boxscore","SFG",0,8
"1256","Sunday, May 31","boxscore","SFG",5,7
"1257","Sunday, Apr 5","boxscore","STL",3,0
"1258","Wednesday, Apr 8","boxscore","STL",0,2
"1259","Friday, Apr 10","boxscore","STL",4,5
"1260","Saturday, Apr 11","boxscore","STL",4,1
"1261","Sunday, Apr 12","boxscore","STL",7,5
"1262","Monday, Apr 13","boxscore","STL",4,5
"1263","Wednesday, Apr 15","boxscore","STL",4,2
"1264","Thursday, Apr 16","boxscore","STL",4,0
"1265","Friday, Apr 17","boxscore","STL",6,1
"1266","Saturday, Apr 18","boxscore","STL",5,2
"1267","Sunday, Apr 19","boxscore","STL",2,1
"1268","Tuesday, Apr 21","boxscore","STL",1,2
"1269","Wednesday, Apr 22","boxscore","STL",7,5
"1270","Thursday, Apr 23","boxscore","STL",4,1
"1271","Friday, Apr 24","boxscore","STL",3,0
"1272","Saturday, Apr 25","boxscore","STL",5,3
"1273","Sunday, Apr 26","boxscore","STL",3,6
"1274","Monday, Apr 27","boxscore","STL",1,4
"1275","Tuesday, Apr 28","boxscore","STL",11,5
"1276","Wednesday, Apr 29","boxscore","STL",5,2
"1277","Thursday, Apr 30","boxscore","STL",9,3
"1278","Friday, May 1","boxscore","STL",2,1
"1279","Saturday, May 2","boxscore","STL",2,1
"1280","Sunday, May 3","boxscore","STL",3,2
"1281","Monday, May 4","boxscore","STL",10,9
"1282","Tuesday, May 5","boxscore","STL",7,4
"1283","Wednesday, May 6","boxscore","STL",5,6
"1284","Thursday, May 7","boxscore","STL",5,1
"1285","Friday, May 8","boxscore","STL",8,5
"1286","Saturday, May 9","boxscore","STL",5,7
"1287","Sunday, May 10","boxscore","STL",3,4
"1288","Tuesday, May 12","boxscore","STL",8,3
"1289","Wednesday, May 13","boxscore","STL",0,2
"1290","Thursday, May 14","boxscore","STL",2,1
"1291","Friday, May 15","boxscore","STL",4,10
"1292","Saturday, May 16","boxscore","STL",3,4
"1293","Sunday, May 17","boxscore","STL",2,1
"1294","Monday, May 18","boxscore","STL",1,2
"1295","Tuesday, May 19","boxscore","STL",10,2
"1296","Wednesday, May 20","boxscore","STL",9,0
"1297","Thursday, May 21","boxscore","STL",0,5
"1298","Friday, May 22","boxscore","STL",0,5
"1299","Saturday, May 23","boxscore","STL",2,3
"1300","Sunday, May 24","boxscore","STL",6,1
"1301","Monday, May 25","boxscore","STL",3,2
"1302","Tuesday, May 26","boxscore","STL",6,4
"1303","Wednesday, May 27","boxscore","STL",4,3
"1304","Friday, May 29","boxscore","STL",3,0
"1305","Saturday, May 30","boxscore","STL",1,5
"1306","Sunday, May 31","boxscore","STL",3,1
"1307","Monday, Apr 6","boxscore","TBR",2,6
"1308","Tuesday, Apr 7","boxscore","TBR",5,6
"1309","Wednesday, Apr 8","boxscore","TBR",2,0
"1310","Friday, Apr 10","boxscore","TBR",9,10
"1311","Saturday, Apr 11","boxscore","TBR",2,0
"1312","Sunday, Apr 12","boxscore","TBR",8,5
"1313","Monday, Apr 13","boxscore","TBR",2,1
"1314","Tuesday, Apr 14","boxscore","TBR",3,2
"1315","Wednesday, Apr 15","boxscore","TBR",7,12
"1316","Thursday, Apr 16","boxscore","TBR",4,2
"1317","Friday, Apr 17","boxscore","TBR",4,5
"1318","Saturday, Apr 18","boxscore","TBR",0,9
"1319","Sunday, Apr 19","boxscore","TBR",3,5
"1320","Tuesday, Apr 21","boxscore","TBR",0,1
"1321","Wednesday, Apr 22","boxscore","TBR",7,5
"1322","Thursday, Apr 23","boxscore","TBR",2,1
"1323","Friday, Apr 24","boxscore","TBR",12,3
"1324","Saturday, Apr 25","boxscore","TBR",4,2
"1325","Sunday, Apr 26","boxscore","TBR",5,1
"1326","Monday, Apr 27","boxscore","TBR",1,4
"1327","Tuesday, Apr 28","boxscore","TBR",2,4
"1328","Wednesday, Apr 29","boxscore","TBR",3,2
"1329","Friday, May 1","boxscore","TBR",2,0
"1330","Saturday, May 2","boxscore","TBR",0,4
"1331","Sunday, May 3","boxscore","TBR",2,4
"1332","Monday, May 4","boxscore","TBR",5,1
"1333","Tuesday, May 5","boxscore","TBR",0,2
"1334","Wednesday, May 6","boxscore","TBR",5,3
"1335","Thursday, May 7","boxscore","TBR",4,5
"1336","Friday, May 8","boxscore","TBR",8,2
"1337","Saturday, May 9","boxscore","TBR",7,2
"1338","Sunday, May 10","boxscore","TBR",1,2
"1339","Monday, May 11","boxscore","TBR",5,11
"1340","Tuesday, May 12","boxscore","TBR",4,2
"1341","Wednesday, May 13","boxscore","TBR",3,2
"1342","Thursday, May 14","boxscore","TBR",6,1
"1343","Friday, May 15","boxscore","TBR",2,3
"1344","Saturday, May 16","boxscore","TBR",4,6
"1345","Sunday, May 17","boxscore","TBR",11,3
"1346","Tuesday, May 19","boxscore","TBR",5,3
"1347","Wednesday, May 20","boxscore","TBR",1,2
"1348","Thursday, May 21","boxscore","TBR",3,0
"1349","Friday, May 22","boxscore","TBR",5,2
"1350","Saturday, May 23","boxscore","TBR",0,5
"1351","Sunday, May 24","boxscore","TBR",2,7
"1352","Monday, May 25","boxscore","TBR",1,4
"1353","Tuesday, May 26","boxscore","TBR",6,7
"1354","Wednesday, May 27","boxscore","TBR",0,3
"1355","Friday, May 29","boxscore","TBR",1,2
"1356","Saturday, May 30","boxscore","TBR",3,0
"1357","Sunday, May 31","boxscore","TBR",9,5
"1358","Monday, Apr 6","boxscore","TEX",0,8
"1359","Tuesday, Apr 7","boxscore","TEX",3,1
"1360","Wednesday, Apr 8","boxscore","TEX",0,10
"1361","Thursday, Apr 9","boxscore","TEX",10,1
"1362","Friday, Apr 10","boxscore","TEX",1,5
"1363","Saturday, Apr 11","boxscore","TEX",6,2
"1364","Sunday, Apr 12","boxscore","TEX",4,6
"1365","Monday, Apr 13","boxscore","TEX",3,6
"1366","Tuesday, Apr 14","boxscore","TEX",8,2
"1367","Wednesday, Apr 15","boxscore","TEX",2,10
"1368","Friday, Apr 17","boxscore","TEX",3,1
"1369","Saturday, Apr 18","boxscore","TEX",1,3
"1370","Sunday, Apr 19","boxscore","TEX",10,11
"1371","Tuesday, Apr 21","boxscore","TEX",7,1
"1372","Wednesday, Apr 22","boxscore","TEX",5,8
"1373","Friday, Apr 24","boxscore","TEX",2,3
"1374","Saturday, Apr 25","boxscore","TEX",1,4
"1375","Sunday, Apr 26","boxscore","TEX",5,4
"1376","Monday, Apr 27","boxscore","TEX",1,3
"1377","Tuesday, Apr 28","boxscore","TEX",1,2
"1378","Wednesday, Apr 29","boxscore","TEX",2,5
"1379","Friday, May 1","boxscore","TEX",5,7
"1380","Saturday, May 2","boxscore","TEX",8,7
"1381","Sunday, May 3","boxscore","TEX",1,7
"1382","Monday, May 4","boxscore","TEX",2,1
"1383","Tuesday, May 5","boxscore","TEX",7,1
"1384","Wednesday, May 6","boxscore","TEX",11,3
"1385","Thursday, May 7","boxscore","TEX",5,4
"1386","Friday, May 8","boxscore","TEX",2,8
"1387","Saturday, May 9","boxscore","TEX",2,7
"1388","Sunday, May 10","boxscore","TEX",2,1
"1389","Monday, May 11","boxscore","TEX",8,2
"1390","Tuesday, May 12","boxscore","TEX",6,7
"1391","Wednesday, May 13","boxscore","TEX",5,2
"1392","Thursday, May 14","boxscore","TEX",3,6
"1393","Friday, May 15","boxscore","TEX",3,8
"1394","Saturday, May 16","boxscore","TEX",8,10
"1395","Sunday, May 17","boxscore","TEX",5,1
"1396","Tuesday, May 19","boxscore","TEX",3,4
"1397","Wednesday, May 20","boxscore","TEX",2,1
"1398","Thursday, May 21","boxscore","TEX",3,1
"1399","Friday, May 22","boxscore","TEX",10,9
"1400","Saturday, May 23","boxscore","TEX",15,4
"1401","Sunday, May 24","boxscore","TEX",5,2
"1402","Monday, May 25","boxscore","TEX",10,8
"1403","Tuesday, May 26","boxscore","TEX",4,3
"1404","Wednesday, May 27","boxscore","TEX",3,12
"1405","Thursday, May 28","boxscore","TEX",1,5
"1406","Friday, May 29","boxscore","TEX",7,4
"1407","Saturday, May 30","boxscore","TEX",8,0
"1408","Sunday, May 31","boxscore","TEX",4,3
"1409","Monday, Apr 6","boxscore","TOR",6,1
"1410","Wednesday, Apr 8","boxscore","TOR",3,4
"1411","Thursday, Apr 9","boxscore","TOR",6,3
"1412","Friday, Apr 10","boxscore","TOR",12,5
"1413","Saturday, Apr 11","boxscore","TOR",1,7
"1414","Sunday, Apr 12","boxscore","TOR",10,7
"1415","Monday, Apr 13","boxscore","TOR",1,2
"1416","Tuesday, Apr 14","boxscore","TOR",2,3
"1417","Wednesday, Apr 15","boxscore","TOR",12,7
"1418","Thursday, Apr 16","boxscore","TOR",2,4
"1419","Friday, Apr 17","boxscore","TOR",7,8
"1420","Saturday, Apr 18","boxscore","TOR",6,5
"1421","Sunday, Apr 19","boxscore","TOR",2,5
"1422","Tuesday, Apr 21","boxscore","TOR",13,6
"1423","Wednesday, Apr 22","boxscore","TOR",4,2
"1424","Thursday, Apr 23","boxscore","TOR",7,6
"1425","Friday, Apr 24","boxscore","TOR",3,12
"1426","Saturday, Apr 25","boxscore","TOR",2,4
"1427","Sunday, Apr 26","boxscore","TOR",1,5
"1428","Monday, Apr 27","boxscore","TOR",5,6
"1429","Tuesday, Apr 28","boxscore","TOR",11,8
"1430","Wednesday, Apr 29","boxscore","TOR",1,4
"1431","Thursday, Apr 30","boxscore","TOR",5,1
"1432","Friday, May 1","boxscore","TOR",4,9
"1433","Saturday, May 2","boxscore","TOR",11,4
"1434","Sunday, May 3","boxscore","TOR",7,10
"1435","Monday, May 4","boxscore","TOR",3,1
"1436","Tuesday, May 5","boxscore","TOR",3,6
"1437","Wednesday, May 6","boxscore","TOR",5,1
"1438","Friday, May 8","boxscore","TOR",7,0
"1439","Saturday, May 9","boxscore","TOR",7,1
"1440","Sunday, May 10","boxscore","TOR",3,6
"1441","Monday, May 11","boxscore","TOR",2,5
"1442","Tuesday, May 12","boxscore","TOR",10,2
"1443","Wednesday, May 13","boxscore","TOR",1,6
"1444","Thursday, May 14","boxscore","TOR",4,6
"1445","Friday, May 15","boxscore","TOR",4,8
"1446","Saturday, May 16","boxscore","TOR",5,6
"1447","Sunday, May 17","boxscore","TOR",2,4
"1448","Monday, May 18","boxscore","TOR",10,6
"1449","Tuesday, May 19","boxscore","TOR",2,3
"1450","Wednesday, May 20","boxscore","TOR",3,4
"1451","Thursday, May 21","boxscore","TOR",8,4
"1452","Friday, May 22","boxscore","TOR",3,4
"1453","Saturday, May 23","boxscore","TOR",2,3
"1454","Sunday, May 24","boxscore","TOR",8,2
"1455","Monday, May 25","boxscore","TOR",6,0
"1456","Tuesday, May 26","boxscore","TOR",10,9
"1457","Wednesday, May 27","boxscore","TOR",3,5
"1458","Friday, May 29","boxscore","TOR",6,4
"1459","Saturday, May 30","boxscore","TOR",2,3
"1460","Sunday, May 31","boxscore","TOR",5,6
"1461","Monday, Apr 6","boxscore","WSN",1,3
"1462","Wednesday, Apr 8","boxscore","WSN",2,1
"1463","Thursday, Apr 9","boxscore","WSN",3,6
"1464","Friday, Apr 10","boxscore","WSN",1,4
"1465","Saturday, Apr 11","boxscore","WSN",2,3
"1466","Sunday, Apr 12","boxscore","WSN",4,3
"1467","Monday, Apr 13","boxscore","WSN",4,9
"1468","Tuesday, Apr 14","boxscore","WSN",7,8
"1469","Wednesday, Apr 15","boxscore","WSN",10,5
"1470","Thursday, Apr 16","boxscore","WSN",5,2
"1471","Friday, Apr 17","boxscore","WSN",7,2
"1472","Saturday, Apr 18","boxscore","WSN",3,5
"1473","Sunday, Apr 19","boxscore","WSN",4,1
"1474","Tuesday, Apr 21","boxscore","WSN",2,1
"1475","Wednesday, Apr 22","boxscore","WSN",5,7
"1476","Thursday, Apr 23","boxscore","WSN",1,4
"1477","Friday, Apr 24","boxscore","WSN",2,3
"1478","Saturday, Apr 25","boxscore","WSN",0,8
"1479","Sunday, Apr 26","boxscore","WSN",2,6
"1480","Monday, Apr 27","boxscore","WSN",4,8
"1481","Tuesday, Apr 28","boxscore","WSN",13,12
"1482","Wednesday, Apr 29","boxscore","WSN",13,4
"1483","Thursday, Apr 30","boxscore","WSN",8,2
"1484","Friday, May 1","boxscore","WSN",0,4
"1485","Saturday, May 2","boxscore","WSN",1,0
"1486","Sunday, May 3","boxscore","WSN",1,0
"1487","Monday, May 4","boxscore","WSN",6,4
"1488","Tuesday, May 5","boxscore","WSN",1,2
"1489","Wednesday, May 6","boxscore","WSN",7,5
"1490","Friday, May 8","boxscore","WSN",9,2
"1491","Saturday, May 9","boxscore","WSN",8,6
"1492","Sunday, May 10","boxscore","WSN",5,4
"1493","Monday, May 11","boxscore","WSN",11,1
"1494","Tuesday, May 12","boxscore","WSN",6,14
"1495","Wednesday, May 13","boxscore","WSN",9,6
"1496","Thursday, May 14","boxscore","WSN",3,8
"1497","Friday, May 15","boxscore","WSN",10,0
"1498","Saturday, May 16","boxscore","WSN",4,1
"1499","Sunday, May 17","boxscore","WSN",10,5
"1500","Tuesday, May 19","boxscore","WSN",8,6
"1501","Wednesday, May 20","boxscore","WSN",3,2
"1502","Friday, May 22","boxscore","WSN",2,1
"1503","Saturday, May 23","boxscore","WSN",1,8
"1504","Sunday, May 24","boxscore","WSN",4,1
"1505","Monday, May 25","boxscore","WSN",2,1
"1506","Tuesday, May 26","boxscore","WSN",2,3
"1507","Wednesday, May 27","boxscore","WSN",3,0
"1508","Friday, May 29","boxscore","WSN",2,5
"1509","Saturday, May 30","boxscore","WSN",5,8
"1510","Sunday, May 31","boxscore","WSN",2,8
