"","Date","box","Team","R","RA"
"218","Tuesday, Apr 28","boxscore","CHC",6,2
"219","Wednesday, Apr 29","boxscore","CHC",1,8
"220","Friday, May 1","boxscore","CHC",1,0
"221","Saturday, May 2","boxscore","CHC",1,6
"222","Sunday, May 3","boxscore","CHC",3,5
"223","Monday, May 4","boxscore","CHC",9,10
"224","Tuesday, May 5","boxscore","CHC",4,7
"225","Wednesday, May 6","boxscore","CHC",6,5
"226","Thursday, May 7","boxscore","CHC",1,5
"227","Friday, May 8","boxscore","CHC",7,6
"228","Saturday, May 9","boxscore","CHC",4,12
"229","Sunday, May 10","boxscore","CHC",2,3
"230","Monday, May 11","boxscore","CHC",4,3
"231","Tuesday, May 12","boxscore","CHC",6,1
"232","Wednesday, May 13","boxscore","CHC",2,1
"233","Thursday, May 14","boxscore","CHC",6,5
"234","Friday, May 15","boxscore","CHC",11,10
"235","Saturday, May 16","boxscore","CHC",4,1
"236","Sunday, May 17","boxscore","CHC",0,3
"237","Tuesday, May 19","boxscore","CHC",3,4
"238","Wednesday, May 20","boxscore","CHC",3,2
"239","Thursday, May 21","boxscore","CHC",3,0
"240","Friday, May 22","boxscore","CHC",4,5
"241","Saturday, May 23","boxscore","CHC",9,6
"242","Sunday, May 24","boxscore","CHC",3,4
"243","Monday, May 25","boxscore","CHC",1,2
"244","Tuesday, May 26","boxscore","CHC",3,2
"245","Wednesday, May 27","boxscore","CHC",0,3
"246","Friday, May 29","boxscore","CHC",4,8
"247","Sunday, May 31","boxscore","CHC",2,1
"248","Monday, Apr 6","boxscore","CHW",1,10
"249","Wednesday, Apr 8","boxscore","CHW",5,7
"250","Thursday, Apr 9","boxscore","CHW",1,4
"251","Friday, Apr 10","boxscore","CHW",0,6
"252","Saturday, Apr 11","boxscore","CHW",5,4
"253","Sunday, Apr 12","boxscore","CHW",6,2
"254","Tuesday, Apr 14","boxscore","CHW",4,1
"255","Wednesday, Apr 15","boxscore","CHW",2,4
"256","Friday, Apr 17","boxscore","CHW",1,2
"257","Saturday, Apr 18","boxscore","CHW",12,3
"258","Sunday, Apr 19","boxscore","CHW",1,9
"259","Monday, Apr 20","boxscore","CHW",4,3
"260","Tuesday, Apr 21","boxscore","CHW",2,6
"261","Wednesday, Apr 22","boxscore","CHW",6,0
"262","Thursday, Apr 23","boxscore","CHW",2,3
"263","Friday, Apr 24","boxscore","CHW",3,2
"264","Sunday, Apr 26","boxscore","CHW",5,3
"265","Wednesday, Apr 29","boxscore","CHW",2,8
"266","Thursday, Apr 30","boxscore","CHW",2,12
"267","Friday, May 1","boxscore","CHW",0,1
"268","Saturday, May 2","boxscore","CHW",3,5
"269","Sunday, May 3","boxscore","CHW",3,13
"270","Tuesday, May 5","boxscore","CHW",5,2
"271","Wednesday, May 6","boxscore","CHW",7,6
"272","Thursday, May 7","boxscore","CHW",1,4
"273","Saturday, May 9 (1)","boxscore","CHW",4,10
"274","Saturday, May 9 (2)","boxscore","CHW",8,2
"275","Sunday, May 10","boxscore","CHW",4,3
"276","Monday, May 11","boxscore","CHW",7,10
"277","Tuesday, May 12","boxscore","CHW",4,2
"278","Wednesday, May 13","boxscore","CHW",4,2
"279","Friday, May 15","boxscore","CHW",7,6
"280","Saturday, May 16","boxscore","CHW",4,3
"281","Sunday, May 17","boxscore","CHW",7,3
"282","Monday, May 18","boxscore","CHW",2,1
"283","Tuesday, May 19","boxscore","CHW",1,3
"284","Wednesday, May 20","boxscore","CHW",3,4
"285","Thursday, May 21","boxscore","CHW",2,5
"286","Friday, May 22","boxscore","CHW",3,2
"287","Saturday, May 23","boxscore","CHW",3,4
"288","Sunday, May 24","boxscore","CHW",1,8
"289","Monday, May 25","boxscore","CHW",0,6
"290","Tuesday, May 26","boxscore","CHW",9,10
"291","Wednesday, May 27","boxscore","CHW",5,3
"292","Thursday, May 28 (1)","boxscore","CHW",3,2
"293","Thursday, May 28 (2)","boxscore","CHW",3,6
"294","Friday, May 29","boxscore","CHW",6,3
"295","Saturday, May 30","boxscore","CHW",0,3
"296","Sunday, May 31","boxscore","CHW",6,0
"297","Monday, Apr 6","boxscore","CIN",5,2
"298","Wednesday, Apr 8","boxscore","CIN",5,4
"299","Thursday, Apr 9","boxscore","CIN",3,2
"300","Friday, Apr 10","boxscore","CIN",5,4
"301","Saturday, Apr 11","boxscore","CIN",1,4
"302","Sunday, Apr 12","boxscore","CIN",5,7
"303","Monday, Apr 13","boxscore","CIN",6,7
"304","Tuesday, Apr 14","boxscore","CIN",3,2
"305","Wednesday, Apr 15","boxscore","CIN",0,5
"306","Friday, Apr 17","boxscore","CIN",1,6
"307","Saturday, Apr 18","boxscore","CIN",2,5
"308","Sunday, Apr 19","boxscore","CIN",1,2
"309","Monday, Apr 20","boxscore","CIN",6,1
"310","Tuesday, Apr 21","boxscore","CIN",16,10
"311","Wednesday, Apr 22","boxscore","CIN",2,1
"312","Thursday, Apr 23","boxscore","CIN",2,4
"313","Friday, Apr 24","boxscore","CIN",3,7
